Amount;Creation date;Closing date;Pipeline;Status;Customer;Country;Product;Sales person;Probability;Source;Expected amount;Color
14,104.739;01-01-2010 17:44:23;05-05-2010 17:44:23;ADVANCED;SHORT LISTED;Company 4;Netherlands;PRODUCT 7;Darryl Innes;31.312;Event;441,649.992;GREY
10,188.109;01-12-2010 17:56:23;04-23-2010 17:56:23;STANDBY;QUALIFIED;Company 8;Belgium;PRODUCT 4;Nita Marling;60.235;Lead generation;613,678.667;YELLOW
12,139.944;01-16-2010 02:36:23;05-30-2010 02:36:23;EARLY;LOST;Company 3;Saudi Arabia;PRODUCT 1;Neva Hunger;24.925;Lead generation;302,587.845;RED
13,952.686;01-15-2010 06:25:23;04-26-2010 06:25:23;STANDBY;QUALIFIED;Company 3;Indonesia;PRODUCT 8;Roxie Foraker;78.019;Website;1,088,568.573;GREEN
12,772.116;01-12-2010 12:15:23;05-17-2010 12:15:23;EARLY;WIN;Company 1;Switzerland;PRODUCT 10;Neva Hunger;16.701;Lead generation;213,301.311;RED
13,122.797;01-13-2010 06:55:23;05-13-2010 06:55:23;ADVANCED;DEMO;Company 9;South Korea;PRODUCT 7;Jerri Preble;91.834;Event;1,205,114.856;GREEN
9,739.17;02-04-2010 03:32:23;06-12-2010 03:32:23;STANDBY;VERBAL COMMITMENT;Company 2;India;PRODUCT 7;Darryl Innes;0.199;Lead generation;1,936.375;RED
8,857.772;02-20-2010 04:21:23;07-04-2010 04:21:23;EARLY;WIN;Company 6;Saudi Arabia;PRODUCT 4;Roxie Foraker;32.112;Lead generation;284,442.82;GREY
9,576.038;02-16-2010 01:45:23;05-18-2010 01:45:23;EARLY;LOST;Company 1;United Kingdom;PRODUCT 11;Jamie Gilbeau;71.686;Reference;686,467.287;YELLOW
8,633.169;02-22-2010 04:21:23;05-30-2010 04:21:23;EARLY;CONTACTED;Company 5;Italy;PRODUCT 3;Darryl Innes;71.996;Partner;621,557.1;YELLOW
9,718.521;02-05-2010 12:16:23;05-08-2010 12:16:23;ADVANCED;STANDBY;Company 6;Poland;PRODUCT 4;Roxie Foraker;52.427;Customer;509,515.574;YELLOW
13,162.987;02-15-2010 02:36:23;05-24-2010 02:36:23;EARLY;QUALIFIED;Company 7;France;PRODUCT 5;Jamie Gilbeau;90.452;Reference;1,190,617.622;GREEN
12,618.856;02-06-2010 15:49:23;05-12-2010 15:49:23;ADVANCED;QUALIFIED;Company 2;Turkey;PRODUCT 7;Jerri Preble;5.121;Personal contact;64,623.722;RED
13,083.589;02-14-2010 03:57:23;06-15-2010 03:57:23;EARLY;DEMO;Company 2;Canada;PRODUCT 5;Jerri Preble;54.522;Lead generation;713,345.434;YELLOW
9,373.009;02-24-2010 23:05:23;06-22-2010 23:05:23;ADVANCED;SHORT LISTED;Company 8;Brazil;PRODUCT 2;Roxie Foraker;94.473;Personal contact;885,499.952;GREEN
12,899.355;02-07-2010 18:42:23;05-11-2010 18:42:23;EARLY;SHORT LISTED;Company 1;Japan;PRODUCT 8;Kathrine Janas;70.723;Event;912,275.908;YELLOW
13,359.68;02-06-2010 14:48:23;06-15-2010 14:48:23;ADVANCED;LOST;Company 4;Poland;PRODUCT 5;Julio Burdge;41.912;Reference;559,928.5;GREY
8,690.05;02-03-2010 20:15:23;06-08-2010 20:15:23;EARLY;CONTACTED;Company 8;Poland;PRODUCT 8;Neva Hunger;55.576;Event;482,960.86;YELLOW
14,391.03;01-31-2010 10:18:23;06-13-2010 10:18:23;STANDBY;VERBAL COMMITMENT;Company 6;Indonesia;PRODUCT 8;Neva Hunger;24.442;Website;351,750.071;RED
14,079.906;02-25-2010 03:54:23;06-01-2010 03:54:23;EARLY;DEMO;Company 3;Turkey;PRODUCT 4;Neva Hunger;75.29;Website;1,060,072.012;GREEN
10,875.127;02-11-2010 07:58:23;06-10-2010 07:58:23;ADVANCED;VERBAL COMMITMENT;Company 7;Saudi Arabia;PRODUCT 8;Jamie Gilbeau;67.645;Event;735,645.802;YELLOW
11,968.428;02-01-2010 13:57:23;05-08-2010 13:57:23;ADVANCED;LOST;Company 7;Sweden;PRODUCT 8;Julio Burdge;4.569;Reference;54,686.035;RED
11,490.106;02-06-2010 23:53:23;05-23-2010 23:53:23;ADVANCED;DEMO;Company 2;Belgium;PRODUCT 8;Kathrine Janas;82.81;Event;951,497.391;GREEN
10,522.917;02-16-2010 13:49:23;06-25-2010 13:49:23;EARLY;DEMO;Company 8;Netherlands;PRODUCT 4;Roxie Foraker;54.578;Reference;574,321.991;YELLOW
9,870.058;02-06-2010 00:30:23;05-11-2010 00:30:23;EARLY;LOST;Company 7;Indonesia;PRODUCT 6;Neva Hunger;98.218;Partner;969,413.459;GREEN
10,932.714;02-26-2010 08:21:23;06-02-2010 08:21:23;STANDBY;SHORT LISTED;Company 1;India;PRODUCT 4;Roxie Foraker;20.035;Website;219,037.927;RED
12,802.625;02-06-2010 13:15:23;06-08-2010 13:15:23;ADVANCED;QUALIFIED;Company 7;United States;PRODUCT 6;Darryl Innes;34.553;Website;442,368.016;GREY
9,425.157;02-06-2010 01:42:23;05-27-2010 01:42:23;ADVANCED;QUALIFIED;Company 2;Mexico;PRODUCT 8;Julio Burdge;95.451;Customer;899,644.623;GREEN
13,438.325;02-15-2010 03:57:23;06-26-2010 03:57:23;EARLY;SHORT LISTED;Company 3;Australia;PRODUCT 4;Jerri Preble;74.467;Reference;1,000,712.065;YELLOW
9,043.263;02-08-2010 20:08:23;05-13-2010 20:08:23;EARLY;LOST;Company 1;Russia;PRODUCT 8;Kathrine Janas;10.511;Lead generation;95,054.592;RED
11,011.586;02-03-2010 20:11:23;06-02-2010 20:11:23;EARLY;SHORT LISTED;Company 2;Germany;PRODUCT 11;Julio Burdge;76.275;Website;839,913.431;GREEN
9,685.125;02-20-2010 21:46:23;07-03-2010 21:46:23;EARLY;CONTACTED;Company 2;Germany;PRODUCT 1;Darryl Innes;34.59;Reference;335,007.902;GREY
10,573.508;02-25-2010 22:11:23;06-05-2010 22:11:23;STANDBY;WIN;Company 9;United States;PRODUCT 7;Jamie Gilbeau;81.798;Customer;864,893.075;GREEN
14,905.032;02-03-2010 00:09:23;05-14-2010 00:09:23;STANDBY;VERBAL COMMITMENT;Company 6;Mexico;PRODUCT 4;Jamie Gilbeau;0.416;Event;6,200.792;RED
13,236.337;02-02-2010 20:38:23;06-09-2010 20:38:23;EARLY;WIN;Company 1;Norway;PRODUCT 3;Julio Burdge;68.34;Partner;904,574.033;YELLOW
9,976.299;02-25-2010 10:49:23;06-28-2010 10:49:23;STANDBY;VERBAL COMMITMENT;Company 9;Switzerland;PRODUCT 1;Jamie Gilbeau;96.871;Reference;966,409.43;GREEN
14,429.661;03-24-2010 03:31:23;07-28-2010 03:31:23;EARLY;LOST;Company 6;Spain;PRODUCT 7;Julio Burdge;94.813;Lead generation;1,368,120.99;GREEN
12,715.827;02-28-2010 07:57:23;06-13-2010 07:57:23;EARLY;QUALIFIED;Company 1;Netherlands;PRODUCT 3;Julio Burdge;80.929;Partner;1,029,083.274;GREEN
13,668.323;03-23-2010 22:47:23;07-06-2010 22:47:23;ADVANCED;VERBAL COMMITMENT;Company 8;Japan;PRODUCT 8;Kathrine Janas;91.996;Partner;1,257,436.337;GREEN
11,570.371;03-11-2010 17:02:23;07-20-2010 17:02:23;EARLY;LOST;Company 8;Indonesia;PRODUCT 8;Darryl Innes;58.745;Personal contact;679,702.185;YELLOW
11,332.054;03-22-2010 09:50:23;07-27-2010 09:50:23;STANDBY;DEMO;Company 7;Norway;PRODUCT 1;Jerri Preble;46.94;Website;531,929.463;GREY
11,464.538;03-03-2010 14:07:23;06-18-2010 14:07:23;EARLY;DEMO;Company 2;Russia;PRODUCT 10;Nita Marling;85.87;Personal contact;984,459.921;GREEN
9,956.824;03-05-2010 08:00:23;07-03-2010 08:00:23;EARLY;QUALIFIED;Company 9;Saudi Arabia;PRODUCT 6;Jerri Preble;31.509;Personal contact;313,725.711;GREY
8,910.492;03-18-2010 01:10:23;06-29-2010 01:10:23;STANDBY;STANDBY;Company 8;India;PRODUCT 6;Jamie Gilbeau;36.619;Event;326,296.83;GREY
9,537.913;03-17-2010 16:20:23;07-22-2010 16:20:23;EARLY;SHORT LISTED;Company 3;Poland;PRODUCT 3;Neva Hunger;25.063;Event;239,046.897;GREY
11,879.388;03-04-2010 14:09:23;06-27-2010 14:09:23;ADVANCED;SHORT LISTED;Company 8;Mexico;PRODUCT 8;Nita Marling;92.576;Event;1,099,740.355;GREEN
14,344.698;03-05-2010 20:14:23;07-03-2010 20:14:23;ADVANCED;DEMO;Company 3;Switzerland;PRODUCT 8;Jerri Preble;81.286;Event;1,166,022.525;GREEN
9,934.516;03-11-2010 18:04:23;07-03-2010 18:04:23;STANDBY;VERBAL COMMITMENT;Company 3;Netherlands;PRODUCT 11;Julio Burdge;0.232;Partner;2,307.637;RED
12,747.163;03-09-2010 16:40:23;07-11-2010 16:40:23;STANDBY;LOST;Company 7;Netherlands;PRODUCT 8;Roxie Foraker;89.148;Personal contact;1,136,382.912;GREEN
10,126.172;03-14-2010 23:12:23;07-04-2010 23:12:23;ADVANCED;STANDBY;Company 3;United States;PRODUCT 3;Neva Hunger;47.781;Reference;483,834.851;GREY
10,554.124;03-02-2010 00:52:23;07-06-2010 00:52:23;STANDBY;QUALIFIED;Company 2;Brazil;PRODUCT 7;Julio Burdge;78.011;Reference;823,335.976;GREEN
9,148.24;03-26-2010 20:49:23;07-09-2010 20:49:23;EARLY;SHORT LISTED;Company 2;Brazil;PRODUCT 4;Julio Burdge;11.034;Partner;100,944.405;RED
9,363.173;03-08-2010 01:35:23;06-29-2010 01:35:23;EARLY;WIN;Company 2;Germany;PRODUCT 1;Kathrine Janas;16.875;Reference;158,007.741;RED
10,256.499;03-25-2010 18:19:23;07-24-2010 18:19:23;STANDBY;CONTACTED;Company 2;Germany;PRODUCT 8;Jerri Preble;18.496;Partner;189,708.638;RED
10,422.344;03-25-2010 22:48:23;07-26-2010 22:48:23;STANDBY;CONTACTED;Company 3;Japan;PRODUCT 8;Neva Hunger;57.768;Customer;602,076.577;YELLOW
11,448.646;03-07-2010 15:29:23;06-15-2010 15:29:23;ADVANCED;CONTACTED;Company 1;United Kingdom;PRODUCT 7;Nita Marling;85.567;Personal contact;979,623.001;GREEN
12,503.494;03-04-2010 20:00:23;06-23-2010 20:00:23;ADVANCED;VERBAL COMMITMENT;Company 3;India;PRODUCT 4;Julio Burdge;73.267;Event;916,093.918;YELLOW
10,406.036;03-03-2010 06:28:23;06-15-2010 06:28:23;EARLY;SHORT LISTED;Company 3;Norway;PRODUCT 7;Darryl Innes;67.889;Partner;706,456.831;YELLOW
14,287.404;03-26-2010 13:23:23;06-28-2010 13:23:23;STANDBY;DEMO;Company 4;Netherlands;PRODUCT 5;Neva Hunger;38.173;Website;545,390.988;GREY
8,697.144;03-05-2010 03:43:23;06-13-2010 03:43:23;STANDBY;VERBAL COMMITMENT;Company 1;Belgium;PRODUCT 8;Roxie Foraker;83.84;Website;729,172.354;GREEN
10,760.602;03-21-2010 23:24:23;07-13-2010 23:24:23;ADVANCED;WIN;Company 2;Belgium;PRODUCT 11;Jerri Preble;5.315;Website;57,191.187;RED
11,742.747;03-21-2010 02:47:23;06-26-2010 02:47:23;EARLY;WIN;Company 6;Russia;PRODUCT 6;Nita Marling;56.159;Reference;659,461.65;YELLOW
8,123.898;03-24-2010 05:04:23;07-18-2010 05:04:23;EARLY;VERBAL COMMITMENT;Company 3;Spain;PRODUCT 4;Kathrine Janas;25.502;Personal contact;207,172.612;GREY
14,042.816;03-21-2010 16:20:23;06-26-2010 16:20:23;STANDBY;STANDBY;Company 6;Australia;PRODUCT 1;Jamie Gilbeau;22.715;Reference;318,980.959;RED
11,712.643;03-04-2010 12:15:23;06-12-2010 12:15:23;ADVANCED;VERBAL COMMITMENT;Company 6;Turkey;PRODUCT 5;Julio Burdge;61.611;Lead generation;721,623.482;YELLOW
8,165.14;03-18-2010 08:42:23;07-23-2010 08:42:23;ADVANCED;STANDBY;Company 7;Brazil;PRODUCT 1;Kathrine Janas;66.419;Reference;542,324.188;YELLOW
11,428.708;04-12-2010 23:44:23;07-18-2010 23:44:23;STANDBY;CONTACTED;Company 7;United States;PRODUCT 3;Julio Burdge;46.819;Customer;535,080.416;GREY
13,995.655;04-06-2010 15:16:23;08-10-2010 15:16:23;ADVANCED;WIN;Company 3;Poland;PRODUCT 3;Jerri Preble;14.277;Lead generation;199,814.866;RED
10,184.174;04-13-2010 18:48:23;07-18-2010 18:48:23;STANDBY;WIN;Company 1;Sweden;PRODUCT 11;Roxie Foraker;36.974;Lead generation;376,554.385;GREY
12,750.504;04-08-2010 15:47:23;07-17-2010 15:47:23;ADVANCED;CONTACTED;Company 5;China;PRODUCT 6;Neva Hunger;55.576;Personal contact;708,615.793;YELLOW
14,856.749;04-02-2010 01:23:23;07-31-2010 01:23:23;EARLY;STANDBY;Company 6;France;PRODUCT 5;Roxie Foraker;7.108;Reference;105,595.136;RED
13,249.808;04-21-2010 14:26:23;08-19-2010 14:26:23;ADVANCED;DEMO;Company 3;Poland;PRODUCT 7;Roxie Foraker;29.22;Event;387,155.948;GREY
14,256.901;04-11-2010 16:32:23;08-02-2010 16:32:23;EARLY;WIN;Company 1;Japan;PRODUCT 5;Jamie Gilbeau;42.084;Website;599,984.044;GREY
8,953.156;03-31-2010 00:10:23;07-14-2010 00:10:23;STANDBY;LOST;Company 8;Mexico;PRODUCT 8;Neva Hunger;30.203;Reference;270,413.639;GREY
10,606.709;04-21-2010 04:44:23;08-14-2010 04:44:23;ADVANCED;SHORT LISTED;Company 2;Indonesia;PRODUCT 8;Nita Marling;71.397;Customer;757,284.83;YELLOW
11,256.818;04-01-2010 07:35:23;07-31-2010 07:35:23;STANDBY;STANDBY;Company 9;Poland;PRODUCT 2;Jerri Preble;85.222;Reference;959,326.179;GREEN
10,030.43;04-19-2010 16:26:23;07-31-2010 16:26:23;STANDBY;DEMO;Company 9;Netherlands;PRODUCT 6;Kathrine Janas;98.102;Event;984,006.925;GREEN
8,552.677;04-17-2010 01:32:23;07-23-2010 01:32:23;EARLY;QUALIFIED;Company 9;China;PRODUCT 5;Jamie Gilbeau;47.428;Website;405,637.038;GREY
10,556.791;04-10-2010 01:44:23;08-22-2010 01:44:23;EARLY;LOST;Company 3;South Korea;PRODUCT 11;Kathrine Janas;71.892;Partner;758,946.109;YELLOW
8,548.871;03-31-2010 09:02:23;07-19-2010 09:02:23;ADVANCED;QUALIFIED;Company 3;Poland;PRODUCT 5;Neva Hunger;60.326;Website;515,716.142;YELLOW
12,132.998;04-17-2010 02:31:23;07-24-2010 02:31:23;EARLY;LOST;Company 4;Australia;PRODUCT 7;Roxie Foraker;56.308;Customer;683,190.567;YELLOW
13,352.163;04-24-2010 19:21:23;09-02-2010 19:21:23;ADVANCED;CONTACTED;Company 2;Mexico;PRODUCT 8;Kathrine Janas;40.805;Customer;544,828.379;GREY
10,150.458;03-31-2010 23:14:23;07-02-2010 23:14:23;STANDBY;WIN;Company 9;Germany;PRODUCT 7;Darryl Innes;40.102;Customer;407,054.922;GREY
14,812.028;04-15-2010 12:52:23;08-04-2010 12:52:23;EARLY;CONTACTED;Company 4;Spain;PRODUCT 8;Jerri Preble;31.317;Event;463,867.886;GREY
10,982.226;03-31-2010 04:43:23;07-03-2010 04:43:23;EARLY;DEMO;Company 7;Indonesia;PRODUCT 2;Jerri Preble;42.725;Reference;469,220.691;GREY
13,626.457;04-17-2010 23:57:23;08-12-2010 23:57:23;ADVANCED;LOST;Company 3;Canada;PRODUCT 2;Jerri Preble;71.194;Event;970,124.925;YELLOW
10,032.171;04-16-2010 05:27:23;08-03-2010 05:27:23;STANDBY;LOST;Company 2;India;PRODUCT 6;Kathrine Janas;63.971;Lead generation;641,768.858;YELLOW
9,709.479;04-05-2010 08:21:23;08-12-2010 08:21:23;EARLY;VERBAL COMMITMENT;Company 3;Germany;PRODUCT 11;Jamie Gilbeau;37.103;Personal contact;360,254.45;GREY
12,795.855;04-13-2010 23:38:23;08-18-2010 23:38:23;ADVANCED;WIN;Company 1;Saudi Arabia;PRODUCT 10;Jerri Preble;27.749;Customer;355,070.775;GREY
9,320.401;04-27-2010 12:03:23;08-23-2010 12:03:23;STANDBY;STANDBY;Company 3;United Kingdom;PRODUCT 8;Julio Burdge;2.645;Reference;24,656.105;RED
11,433.135;04-18-2010 05:39:23;07-18-2010 05:39:23;EARLY;QUALIFIED;Company 4;South Korea;PRODUCT 4;Kathrine Janas;70.004;Reference;800,367.222;YELLOW
10,454.775;04-24-2010 13:25:23;07-29-2010 13:25:23;EARLY;VERBAL COMMITMENT;Company 9;Australia;PRODUCT 6;Jamie Gilbeau;67.093;Website;701,445.813;YELLOW
11,352.487;04-16-2010 12:47:23;08-27-2010 12:47:23;EARLY;DEMO;Company 9;Poland;PRODUCT 10;Jerri Preble;20.776;Customer;235,863.246;RED
11,997.07;04-15-2010 17:23:23;08-21-2010 17:23:23;STANDBY;WIN;Company 9;Japan;PRODUCT 4;Neva Hunger;3.272;Event;39,248.912;RED
13,307.039;04-01-2010 22:33:23;07-05-2010 22:33:23;EARLY;WIN;Company 7;Germany;PRODUCT 4;Neva Hunger;30.398;Lead generation;404,510.849;GREY
8,135.077;04-05-2010 12:47:23;07-16-2010 12:47:23;STANDBY;WIN;Company 8;Belgium;PRODUCT 2;Jamie Gilbeau;74.575;Personal contact;606,674.458;YELLOW
10,502.333;05-24-2010 09:50:23;08-22-2010 09:50:23;STANDBY;CONTACTED;Company 9;China;PRODUCT 3;Neva Hunger;89.836;Lead generation;943,489.502;GREEN
13,536.02;05-13-2010 08:59:23;09-15-2010 08:59:23;ADVANCED;QUALIFIED;Company 5;Saudi Arabia;PRODUCT 7;Julio Burdge;71.13;Personal contact;962,822.599;YELLOW
11,215.799;05-14-2010 01:10:23;09-08-2010 01:10:23;STANDBY;QUALIFIED;Company 3;China;PRODUCT 11;Jamie Gilbeau;95.17;Event;1,067,411.96;GREEN
10,784.396;05-03-2010 19:31:23;08-09-2010 19:31:23;EARLY;SHORT LISTED;Company 9;Mexico;PRODUCT 10;Roxie Foraker;15.096;Reference;162,797.789;RED
13,427.95;05-05-2010 08:44:23;09-12-2010 08:44:23;EARLY;CONTACTED;Company 4;Italy;PRODUCT 8;Darryl Innes;6.216;Personal contact;83,473.392;RED
12,581.527;05-16-2010 08:44:23;08-18-2010 08:44:23;EARLY;QUALIFIED;Company 5;Spain;PRODUCT 6;Jamie Gilbeau;85.103;Personal contact;1,070,723.814;GREEN
11,965.299;05-13-2010 20:18:23;09-04-2010 20:18:23;ADVANCED;SHORT LISTED;Company 3;Norway;PRODUCT 5;Roxie Foraker;49.287;Personal contact;589,730.628;GREY
11,206.834;05-19-2010 12:22:23;08-26-2010 12:22:23;EARLY;CONTACTED;Company 3;Sweden;PRODUCT 1;Julio Burdge;9.84;Partner;110,269.851;RED
13,654.986;05-13-2010 00:45:23;09-04-2010 00:45:23;EARLY;VERBAL COMMITMENT;Company 7;Belgium;PRODUCT 6;Jamie Gilbeau;14.094;Customer;192,447.161;RED
14,740.83;05-13-2010 17:25:23;08-24-2010 17:25:23;ADVANCED;LOST;Company 4;United States;PRODUCT 11;Darryl Innes;80.772;Reference;1,190,643.225;GREEN
14,991.135;05-17-2010 00:48:23;08-15-2010 00:48:23;EARLY;STANDBY;Company 2;Belgium;PRODUCT 4;Kathrine Janas;94.792;Personal contact;1,421,032.331;GREEN
12,549.828;05-09-2010 21:04:23;08-08-2010 21:04:23;EARLY;DEMO;Company 1;Saudi Arabia;PRODUCT 3;Roxie Foraker;34.008;Customer;426,790.408;GREY
8,812.921;05-10-2010 09:49:23;09-16-2010 09:49:23;STANDBY;WIN;Company 1;Switzerland;PRODUCT 11;Julio Burdge;25.162;Website;221,747.914;GREY
13,532.373;05-27-2010 12:00:23;09-27-2010 12:00:23;EARLY;STANDBY;Company 9;United Kingdom;PRODUCT 5;Kathrine Janas;51.301;Partner;694,225.487;YELLOW
9,494.357;05-27-2010 14:45:23;10-08-2010 14:45:23;STANDBY;QUALIFIED;Company 3;Japan;PRODUCT 3;Darryl Innes;57.936;Reference;550,063.177;YELLOW
13,627.39;05-20-2010 08:45:23;09-21-2010 08:45:23;STANDBY;VERBAL COMMITMENT;Company 2;Norway;PRODUCT 8;Kathrine Janas;30.197;Website;411,500.311;GREY
9,145.808;05-16-2010 19:27:23;09-21-2010 19:27:23;EARLY;WIN;Company 1;India;PRODUCT 11;Nita Marling;38.261;Partner;349,929.807;GREY
8,084.049;05-11-2010 07:26:23;09-16-2010 07:26:23;STANDBY;CONTACTED;Company 2;Russia;PRODUCT 1;Julio Burdge;73.314;Customer;592,677.674;YELLOW
8,327.21;05-22-2010 21:16:23;09-26-2010 21:16:23;STANDBY;CONTACTED;Company 9;India;PRODUCT 1;Neva Hunger;21.307;Partner;177,424.196;RED
9,993.352;05-21-2010 20:28:23;08-30-2010 20:28:23;STANDBY;SHORT LISTED;Company 3;Turkey;PRODUCT 6;Darryl Innes;46.777;Lead generation;467,458.249;GREY
12,773.019;05-25-2010 22:24:23;08-24-2010 22:24:23;EARLY;LOST;Company 5;Saudi Arabia;PRODUCT 4;Jamie Gilbeau;84.008;Personal contact;1,073,034.056;GREEN
8,581.438;05-21-2010 12:58:23;09-16-2010 12:58:23;STANDBY;LOST;Company 7;Italy;PRODUCT 6;Darryl Innes;57.774;Reference;495,787.292;YELLOW
13,628.875;05-27-2010 21:58:23;09-24-2010 21:58:23;ADVANCED;STANDBY;Company 3;Norway;PRODUCT 2;Kathrine Janas;80.955;Website;1,103,332.1;GREEN
10,764.606;05-07-2010 09:18:23;09-09-2010 09:18:23;EARLY;DEMO;Company 8;Russia;PRODUCT 8;Roxie Foraker;1.273;Website;13,700.167;RED
10,699.983;05-07-2010 11:03:23;08-11-2010 11:03:23;ADVANCED;STANDBY;Company 9;Mexico;PRODUCT 7;Julio Burdge;94.421;Event;1,010,308.476;GREEN
8,466.055;04-30-2010 09:21:23;08-12-2010 09:21:23;ADVANCED;DEMO;Company 7;Belgium;PRODUCT 11;Roxie Foraker;25.861;Website;218,940.593;GREY
12,211.216;05-06-2010 05:59:23;08-19-2010 05:59:23;STANDBY;LOST;Company 5;United Kingdom;PRODUCT 10;Roxie Foraker;28.528;Website;348,360.037;GREY
8,194.348;05-27-2010 00:38:23;10-02-2010 00:38:23;STANDBY;WIN;Company 6;Germany;PRODUCT 8;Julio Burdge;68.74;Personal contact;563,279.201;YELLOW
14,578.932;05-22-2010 08:29:23;08-20-2010 08:29:23;STANDBY;DEMO;Company 3;Germany;PRODUCT 8;Julio Burdge;97.555;Customer;1,422,249.348;GREEN
14,383.587;05-09-2010 08:35:23;08-25-2010 08:35:23;EARLY;SHORT LISTED;Company 1;Japan;PRODUCT 8;Jamie Gilbeau;9.851;Partner;141,692.884;RED
14,694.516;06-22-2010 16:10:23;09-29-2010 16:10:23;EARLY;LOST;Company 9;Germany;PRODUCT 6;Jamie Gilbeau;58.392;Website;858,036.728;YELLOW
11,995.317;06-21-2010 23:09:23;09-30-2010 23:09:23;STANDBY;VERBAL COMMITMENT;Company 4;Australia;PRODUCT 6;Kathrine Janas;95.146;Personal contact;1,141,304.119;GREEN
